"_id","first_name","last_name","GP","Min_per","stops","oreb","dreb","treb","ast","stl","blk","pts"
"65d5e15d016cc2be02ffb9b1","Nicholas","West","25","16.7","30.4567","0.48","0.84","1.32","0.2","0.16","0.24","2.64"
"65d5e15e016cc2be02ffc6eb","AJ","West","21","39","94.0967","3.5714","3.1905","6.7619","0.1905","0.2381","2.2857","6.7619"
"65d5e15e016cc2be02ffca5f","Brandon","West","27","59.6","173.971","3.6296","6.037","9.6667","0.6296","0.7778","2","12.8148"
"65d5e15f016cc2be02ffef37","Nick","West","28","75.1","155.111","2.3929","5.25","7.6429","1.3571","0.6071","0.9286","13.8214"
"65d5e15f016cc2be02ffefe0","D'Angelo","West","17","6.4","11.2757","0.1176","0.4706","0.5882","0.1176","0.0588","0","1.3529"
"65d5e15f016cc2be02fffd5b","Lamont","West","37","29.3","76.4443","0.6757","1.1622","1.8378","0.4324","0.2703","0.2162","5.5676"
"65d5e15f016cc2be020012ea","Geno","West","8","2.1","3.38223","0.2","0.2","0.4","0.5","0","0","1.2"
"65d5e15f016cc2be02001483","Jarrod","West","35","80.4","200.177","0.3611","2.25","2.6111","2.9722","1.5833","0.0556","7.7778"
"65d5e160016cc2be020017e9","Randall","West","8","6.8","18.5834","1.5","1.875","3.375","0.375","0.375","0.375","2.125"
"65d5e160016cc2be02002a58","Jasen","West","3","0.1","0.238373","0","0","0","0","0","0","0"
"65d5e161016cc2be02004ef7","Jamal","West","23","64.1","111.634","2.5926","3.6667","6.2593","0.6667","0.4074","1.037","5.6667"
"65d5e15f016cc2be02001575","James","West IV","9","3.2","5.64699","0.0909","0.2727","0.3636","0.2727","0.1818","0.0909","1"
"65d5e15b016cc2be02ff63d2","Lawrence","Westbrook","31","58.1","106.387","0.6452","1.871","2.5161","1.3871","0.6452","0.129","12.5806"
"65d5e15d016cc2be02ff9237","Charlie","Westbrook","26","64.2","152.55","1.0385","3.8846","4.9231","1.1154","1.1538","0.6538","16.3077"
"65d5e15e016cc2be02ffc6ce","Reed","Westbrook","14","2.8","5.27577","0.1429","0.1429","0.2857","0.1429","0.0714","0","0.7143"
"65d5e15f016cc2be020004dd","LJ","Westbrook","16","28.7","63.3189","0.2222","2.5556","2.7778","1.2222","1","0.0556","6.5556"
"65d5e15f016cc2be02ffec78","Brendan","Westendorf","30","83","204.518","1.2667","4.2","5.4667","4.4","1.7667","0.1333","13.3"
